date_avis,rubrique,type,ticker,critique,titre,url,date_collecte
2026-09-22,AVIS,PREMIERE_COTATION,,non,"« ETAT DU SENEGAL 6,40 % 2026-2029 », « ETAT DU SENEGAL 6,60 % 2026-2031 », « ETAT DU SENEGAL 6,75 % 2026-2033 » et « ETAT DU SENEGAL 6,95 % 2026-2036 » : Résultats de première cotation",https://www.brvm.org/sites/default/files/20260922_-_avis_ndeg277_brvmdg_-_resultats_de_premiere_cotation_-_etat_du_senegal_640_2026-2029_etat_du_senegal_660_2026-2031_etat_du_senegal_675_2026-2033_et_etat_du_senegal_695_2026-2036_.pdf,2026-09-24
2026-09-22,AVIS,AUTRE,SPHC,non,SAPH CI : Avis de nomination,https://www.brvm.org/sites/default/files/20260921_-_avis_de_nomination_-_saph_ci.pdf,2026-09-24
2026-09-22,AVIS,REPRISE_COTATION,SCRC,non,SUCRIVOIRE S.A. : Levée de suspension de la cotation,https://www.brvm.org/sites/default/files/20260921_-_avis_ndeg276_brvmdg_-_levee_de_la_suspension_sucrivoire_s.a.pdf,2026-09-24
2026-09-18,AVIS,AUTRE,,non,Avis : Transactions sur dossier,https://www.brvm.org/sites/default/files/20260918_-_avis_ndeg275_brvmdg_-_transactions_sur_dossier.pdf,2026-09-24
2026-09-18,AVIS,PREMIERE_COTATION,,non,"Emprunts obligataires &quot; TPCI 5,45 % 2026-2031 &quot; et &quot; TPCI 5,70 % 2026-2033 &quot; : Première cotation",https://www.brvm.org/sites/default/files/20260917_-_avis_ndeg271_brvmdg_-_premiere_cotation_-_tpci_545_2026-2031_tpci.o103_-_tpci_570_2026-2033_tpci.o104.pdf,2026-09-24
2026-09-17,AVIS,DIVIDENDE,,non,Avis : Calendrier de paiement de dividendes,https://www.brvm.org/sites/default/files/20260904_-_calendrier_de_paiement_des_dividendes_-_exercice_2025_0.pdf,2026-09-24
2026-09-17,AVIS,SUSPENSION,SEMC,oui,SONOCO METAL PACKAGING SIEM CI (Ex-EVIOSYS PACKAGING SIEM CI) : Suspension de la cotation,https://www.brvm.org/sites/default/files/20260916_-_avis_ndeg270_brvmdg_-_suspension_-_sonoco_metal_packaging_siem_ci.pdf,2026-09-24
2026-09-17,AVIS,SUSPENSION,SCRC,oui,SUCRIVOIRE S.A : Suspension de la cotation,https://www.brvm.org/sites/default/files/20260916_-_avis_ndeg269_brvmdg_-_suspension_-_sucrivoire_ci.pdf,2026-09-24
2026-09-17,AVIS,SUSPENSION,SICC,oui,SICOR S.A : Suspension de la cotation,https://www.brvm.org/sites/default/files/20260916_-_avis_ndeg268_brvmdg_-_suspension_-_sicor_ci.pdf,2026-09-24
2026-09-17,ASSEMBLEE,AGE,SNTS,non,avis de convocation assemblee generale extraordinaire sonatel sn,https://www.brvm.org/sites/default/files/20260917_-_avis_de_convocation_-_assemblee_generale_extraordinaire_-_sonatel_sn.pdf,2026-09-24
