ticker,date_bulletin,cours,per,rendement,variation_annee,dividende_montant,dividende_date
CABC,20180131,1600.0,15.85,3.13,44.8,50.0,30-juin-17
FTSC,20180131,4400.0,25.27,5.94,-10.66,261.0,9-janv.-18
NEIC,20180131,46.0,,,24.32,9.0,28-juin-01
NTLC,20180131,2200.0,44.88,,15.79,32.0,12-août-11
SEMC,20180131,14000.0,18.6,4.83,0.9,677.0,29-sept.-17
SIVC,20180131,430.0,54.35,14.65,7.5,63.0,29-sept.-17
SLBC,20180131,120000.0,7.17,3.42,-4.0,4101.0,8-juin-17
SMBC,20180131,10200.0,2.9,,33.86,450.0,18-juil.-12
STBC,20180131,61975.0,18.67,6.65,-13.92,4124.0,19-juin-17
UNLC,20180131,6940.0,,,-18.35,1233.0,9-juil.-12
UNXC,20180131,3545.0,18.0,4.9,-16.98,174.0,10-juil.-17
CIEC,20180131,1800.0,9.35,9.63,-14.29,173.0,20-sept.-17
ONTBF,20180131,8000.0,11.31,7.74,-16.32,619.0,1-juin-17
SDCC,20180131,3700.0,12.3,7.3,-37.39,270.0,28-sept.-17
SNTS,20180131,22505.0,10.42,6.67,-4.23,1500.0,15-mai-17
BICC,20180131,7455.0,10.31,3.72,-12.19,277.0,24-juil.-17
BOAB,20180131,6450.0,8.05,6.93,-13.42,447.0,15-mai-17
BOABF,20180131,6500.0,11.49,5.33,-9.09,347.0,4-mai-17
BOAC,20180131,4700.0,9.26,5.83,-4.08,274.0,8-mai-17
BOAM,20180131,4750.0,7.8,7.83,-8.65,372.0,2-mai-17
BOAN,20180131,4800.0,9.45,7.87,-3.03,378.0,19-mai-17
BOAS,20180131,2545.0,15.08,1.96,1.8,50.0,15-mai-17
CBIBF,20180131,9100.0,17.78,2.46,-9.0,224.0,9-juin-17
ECOC,20180131,23995.0,,,-19.15,,
ETIT,20180131,19.0,,6.36,11.76,1.0,28-avr.-17
NSBC,20180131,8400.0,,,-13.04,0.0,
SAFC,20180131,10000.0,,,-8.26,576.0,29-juil.-11
SGBC,20180131,11795.0,10.36,4.95,2.12,584.0,4-juil.-17
SIBC,20180131,16000.0,9.36,5.34,-5.88,855.0,9-juin-17
SDSC,20180131,4350.0,23.39,4.14,-12.83,180.0,13-juil.-17
PALC,20180131,5090.0,19.04,2.36,-7.45,120.0,29-sept.-17
SCRC,20180131,950.0,4.36,14.45,-16.67,137.0,29-sept.-17
SICC,20180131,3955.0,11.82,,0.13,1919.0,25-sept.-00
SOGC,20180131,4400.0,15.44,7.28,4.76,320.0,31-juil.-17
SPHC,20180131,3155.0,68.93,,1.94,116.0,13-juin-14
ABJC,20180131,1505.0,15.68,3.29,-24.75,50.0,24-juil.-17
BNBC,20180131,2305.0,6.38,7.05,-25.65,163.0,11-juil.-17
CFAC,20180131,510.0,22.59,3.98,29.11,20.0,24-juil.-17
PRSC,20180131,289990.0,23.0,4.66,0.48,13500.0,25-sept.-17
SHEC,20180131,900.0,12.92,3.7,0.0,33.0,27-juil.-17
TTLC,20180131,10500.0,14.88,4.62,-24.46,485.0,30-juin-17
TTLS,20180131,1680.0,,2.68,-11.58,45.0,25-juil.-17
STAC,20180131,170.0,2.05,,-5.56,0.0,
CABC,20180228,1930.0,19.12,2.59,74.66,50.0,30-juin-17
FTSC,20180228,4950.0,28.43,5.28,0.51,261.0,9-janv.-18
NEIC,20180228,100.0,,,170.27,9.0,28-juin-01
NTLC,20180228,2000.0,40.8,,5.26,32.0,12-août-11
SEMC,20180228,13500.0,17.93,5.01,-2.7,677.0,29-sept.-17
SIVC,20180228,455.0,57.51,13.85,13.75,63.0,29-sept.-17
SLBC,20180228,117500.0,7.02,3.49,-6.0,4101.0,8-juin-17
SMBC,20180228,12685.0,3.6,,66.47,450.0,18-juil.-12
STBC,20180228,55000.0,16.57,7.5,-23.61,4124.0,19-juin-17
UNLC,20180228,7100.0,,,-16.47,1233.0,9-juil.-12
UNXC,20180228,3550.0,18.02,4.89,-16.86,174.0,10-juil.-17
CIEC,20180228,1985.0,10.31,8.73,-5.48,173.0,20-sept.-17
ONTBF,20180228,8450.0,11.95,7.33,-11.61,619.0,1-juin-17
SDCC,20180228,3700.0,12.3,7.3,-37.39,270.0,28-sept.-17
SNTS,20180228,21500.0,9.96,6.98,-8.51,1500.0,15-mai-17
BICC,20180228,8100.0,11.21,3.42,-4.59,277.0,24-juil.-17
BOAB,20180228,6595.0,8.23,6.78,-11.48,447.0,15-mai-17
BOABF,20180228,7090.0,12.54,4.89,-0.84,347.0,4-mai-17
BOAC,20180228,4950.0,9.75,5.54,1.02,274.0,8-mai-17
BOAM,20180228,4320.0,7.1,8.61,-16.92,372.0,2-mai-17
BOAN,20180228,5000.0,9.85,7.55,1.01,378.0,19-mai-17
BOAS,20180228,2900.0,17.18,1.72,16.0,50.0,15-mai-17
CBIBF,20180228,9000.0,17.58,2.49,-10.0,224.0,9-juin-17
ECOC,20180228,25000.0,,,-15.77,,
ETIT,20180228,18.0,,6.71,5.88,1.0,28-avr.-17
NSBC,20180228,8400.0,,,-13.04,0.0,
SAFC,20180228,9700.0,,,-11.01,576.0,29-juil.-11
SGBC,20180228,14490.0,12.72,4.03,25.45,584.0,4-juil.-17
SIBC,20180228,16370.0,9.58,5.22,-3.71,855.0,9-juin-17
SDSC,20180228,4500.0,24.2,4.0,-9.82,180.0,13-juil.-17
PALC,20180228,7490.0,28.02,1.61,36.18,120.0,29-sept.-17
SCRC,20180228,1840.0,8.45,7.46,61.4,137.0,29-sept.-17
SICC,20180228,3850.0,11.5,,-2.53,1919.0,25-sept.-00
SOGC,20180228,5200.0,18.24,6.16,23.81,320.0,31-juil.-17
SPHC,20180228,4000.0,87.39,,29.24,116.0,13-juin-14
ABJC,20180228,1755.0,18.29,2.82,-12.25,50.0,24-juil.-17
BNBC,20180228,3100.0,8.58,5.25,0.0,163.0,11-juil.-17
CFAC,20180228,615.0,27.24,3.3,55.7,20.0,24-juil.-17
PRSC,20180228,289000.0,22.93,4.67,0.14,13500.0,25-sept.-17
SHEC,20180228,1240.0,17.8,2.69,37.78,33.0,27-juil.-17
TTLC,20180228,2200.0,15.59,4.41,-20.86,97.0,30-juin-17
TTLS,20180228,1695.0,,2.65,-10.79,45.0,25-juil.-17
STAC,20180228,180.0,2.17,,0.0,0.0,
CABC,20180330,2000.0,12.08,2.5,81.0,50.0,30-juin-17
FTSC,20180330,5485.0,31.5,10.23,11.37,561.0,9-janv.-18
NEIC,20180330,250.0,,,575.68,9.0,28-juin-01
NTLC,20180330,2800.0,57.12,,47.37,32.0,12-août-11
SEMC,20180330,13930.0,18.5,4.86,0.4,677.0,29-sept.-17
SIVC,20180330,650.0,82.15,9.69,62.5,63.0,29-sept.-17
SLBC,20180330,120000.0,7.17,3.42,-4.0,4101.0,8-juin-17
SMBC,20180330,17575.0,4.99,,130.64,450.0,18-juil.-12
STBC,20180330,53500.0,16.12,7.71,-25.69,4124.0,19-juin-17
UNLC,20180330,7610.0,,,-10.47,1233.0,9-juil.-12
UNXC,20180330,3400.0,17.26,5.11,-20.37,174.0,10-juil.-17
CIEC,20180330,2090.0,10.86,8.29,-0.48,173.0,20-sept.-17
ONTBF,20180330,8600.0,12.16,7.2,-10.04,619.0,1-juin-17
SDCC,20180330,4070.0,13.53,6.63,-31.13,270.0,28-sept.-17
SNTS,20180330,23100.0,11.43,6.49,-1.7,1500.0,15-mai-17
BICC,20180330,7995.0,11.06,3.47,-5.83,277.0,24-juil.-17
BOAB,20180330,6700.0,9.11,6.67,-10.07,447.0,15-mai-17
BOABF,20180330,6900.0,10.08,5.02,-3.5,347.0,4-mai-17
BOAC,20180330,4985.0,9.82,5.5,1.73,274.0,8-mai-17
BOAM,20180330,4250.0,6.98,8.75,-18.27,372.0,2-mai-17
BOAN,20180330,4980.0,8.89,7.58,0.61,378.0,19-mai-17
BOAS,20180330,2900.0,6.88,1.72,16.0,50.0,15-mai-17
CBIBF,20180330,8800.0,14.39,2.55,-12.0,224.0,9-juin-17
ECOC,20180330,27495.0,11.4,,-7.36,,
ETIT,20180330,18.0,2.53,6.71,5.88,1.0,28-avr.-17
NSBC,20180330,8200.0,,,-15.11,0.0,
SAFC,20180330,7400.0,,,-32.11,576.0,29-juil.-11
SGBC,20180330,14000.0,12.29,4.17,21.21,584.0,4-juil.-17
SIBC,20180330,17000.0,7.55,5.03,0.0,855.0,9-juin-17
SDSC,20180330,4600.0,24.74,3.91,-7.82,180.0,13-juil.-17
PALC,20180330,7400.0,27.68,1.63,34.55,120.0,29-sept.-17
SCRC,20180330,1600.0,7.35,8.58,40.35,137.0,29-sept.-17
SICC,20180330,3860.0,11.53,,-2.28,1919.0,25-sept.-00
SOGC,20180330,5250.0,18.42,6.1,25.0,320.0,31-juil.-17
SPHC,20180330,4200.0,91.76,,35.7,116.0,13-juin-14
ABJC,20180330,1745.0,19.18,2.84,-12.75,50.0,24-juil.-17
BNBC,20180330,2900.0,8.03,5.61,-6.45,163.0,11-juil.-17
CFAC,20180330,670.0,29.68,3.03,69.62,20.0,24-juil.-17
PRSC,20180330,197910.0,15.7,6.82,-31.42,13500.0,25-sept.-17
SHEC,20180330,1400.0,20.1,2.38,55.56,33.0,27-juil.-17
TTLC,20180330,2300.0,16.3,4.22,-17.27,97.0,30-juin-17
TTLS,20180330,1705.0,,2.64,-10.26,45.0,25-juil.-17
STAC,20180330,395.0,4.77,,119.44,0.0,
CABC,20180430,1700.0,10.27,2.94,53.85,50.0,30-juin-17
FTSC,20180430,4900.0,28.14,11.45,-0.51,561.0,9-janv.-18
NEIC,20180430,800.0,,,2062.16,9.0,28-juin-01
NTLC,20180430,2790.0,56.91,,46.84,32.0,12-août-11
SEMC,20180430,14500.0,19.26,4.67,4.5,677.0,29-sept.-17
SIVC,20180430,525.0,66.35,12.0,31.25,63.0,29-sept.-17
SLBC,20180430,96000.0,5.73,4.27,-23.2,4101.0,8-juin-17
SMBC,20180430,15000.0,4.26,,96.85,450.0,18-juil.-12
STBC,20180430,52000.0,15.67,7.93,-27.78,4124.0,19-juin-17
UNLC,20180430,8600.0,,,1.18,1233.0,9-juil.-12
UNXC,20180430,3050.0,15.49,5.69,-28.57,174.0,10-juil.-17
CIEC,20180430,1990.0,10.34,8.71,-5.24,173.0,20-sept.-17
ONTBF,20180430,8700.0,12.3,7.12,-9.0,619.0,1-juin-17
SDCC,20180430,4000.0,13.3,6.75,-32.32,270.0,28-sept.-17
SNTS,20180430,23520.0,11.63,6.38,0.09,1500.0,15-mai-17
BICC,20180430,8000.0,11.07,3.46,-5.77,277.0,24-juil.-17
BOAB,20180430,6115.0,8.32,7.31,-17.92,447.0,15-mai-17
BOABF,20180430,6200.0,9.06,5.59,-13.29,347.0,4-mai-17
BOAC,20180430,4700.0,8.67,5.83,-4.08,274.0,8-mai-17
BOAM,20180430,3750.0,6.16,9.92,-27.88,372.0,2-mai-17
BOAN,20180430,4700.0,8.39,8.04,-5.05,378.0,19-mai-17
BOAS,20180430,2350.0,5.58,6.81,-6.0,160.0,2-mai-18
CBIBF,20180430,8800.0,14.39,2.55,-12.0,224.0,9-juin-17
ECOC,20180430,25510.0,10.58,,-14.05,,
ETIT,20180430,24.0,3.38,5.03,41.18,1.0,28-avr.-17
NSBC,20180430,8000.0,,,-17.18,0.0,
SAFC,20180430,7250.0,,,-33.49,576.0,29-juil.-11
SGBC,20180430,13500.0,11.85,4.32,16.88,584.0,4-juil.-17
SIBC,20180430,16800.0,7.46,5.09,-1.18,855.0,9-juin-17
SDSC,20180430,4095.0,22.02,4.39,-17.94,180.0,13-juil.-17
PALC,20180430,6000.0,22.44,2.01,9.09,120.0,29-sept.-17
SCRC,20180430,1500.0,6.89,9.15,31.58,137.0,29-sept.-17
SICC,20180430,3290.0,9.83,,-16.71,1919.0,25-sept.-00
SOGC,20180430,4325.0,8.96,7.41,2.98,320.0,31-juil.-17
SPHC,20180430,4000.0,87.39,,29.24,116.0,13-juin-14
ABJC,20180430,1615.0,17.75,3.07,-19.25,50.0,24-juil.-17
BNBC,20180430,3200.0,8.86,5.08,3.23,163.0,11-juil.-17
CFAC,20180430,700.0,31.01,2.9,77.22,20.0,24-juil.-17
PRSC,20180430,185000.0,14.68,7.3,-35.9,13500.0,25-sept.-17
SHEC,20180430,1190.0,17.08,2.8,32.22,33.0,27-juil.-17
TTLC,20180430,2200.0,15.59,4.41,-20.86,97.0,30-juin-17
TTLS,20180430,1660.0,,2.71,-12.63,45.0,25-juil.-17
STAC,20180430,350.0,4.23,,94.44,0.0,
CABC,20180531,1650.0,9.97,6.06,49.32,100.0,31-mai-18
FTSC,20180531,4000.0,22.64,14.03,-18.78,561.0,9-janv.-18
NEIC,20180531,345.0,8.71,,832.43,9.0,28-juin-01
NTLC,20180531,2850.0,58.14,,50.0,32.0,12-août-11
SEMC,20180531,13750.0,18.26,4.92,-0.9,677.0,29-sept.-17
SIVC,20180531,440.0,55.61,14.32,10.0,63.0,29-sept.-17
SLBC,20180531,76105.0,29.47,5.39,-39.12,4101.0,8-juin-17
SMBC,20180531,14175.0,3.68,,86.02,450.0,18-juil.-12
STBC,20180531,47000.0,14.16,8.77,-34.72,4124.0,19-juin-17
UNLC,20180531,8200.0,,,-3.53,1233.0,9-juil.-12
UNXC,20180531,3195.0,16.52,5.43,-25.18,174.0,10-juil.-17
CIEC,20180531,1295.0,36.5,13.38,-38.33,173.0,20-sept.-17
ONTBF,20180531,8900.0,10.7,6.96,-6.9,619.0,1-juin-17
SDCC,20180531,3895.0,12.88,6.93,-34.09,270.0,28-sept.-17
SNTS,20180531,22300.0,11.03,6.73,-5.11,1500.0,23-mai-18
BICC,20180531,6600.0,11.84,4.2,-22.26,277.0,24-juil.-17
BOAB,20180531,4500.0,6.12,9.04,-39.6,407.0,15-mai-18
BOABF,20180531,4675.0,6.83,7.66,-34.62,358.0,7-mai-18
BOAC,20180531,4590.0,8.46,5.97,-6.33,274.0,8-mai-17
BOAM,20180531,2645.0,5.43,10.96,-49.13,290.0,31-mai-18
BOAN,20180531,4250.0,7.58,8.92,-14.14,379.0,31-mai-18
BOAS,20180531,2685.0,6.37,5.96,7.4,160.0,2-mai-18
CBIBF,20180531,8700.0,14.23,2.57,-13.0,224.0,9-juin-17
ECOC,20180531,24995.0,10.37,,-15.79,,
ETIT,20180531,21.0,2.99,5.75,23.53,1.0,28-avr.-17
NSBC,20180531,8900.0,10.55,,-7.87,0.0,
SAFC,20180531,6020.0,,,-44.77,576.0,29-juil.-11
SGBC,20180531,11975.0,9.4,4.87,3.68,584.0,4-juil.-17
SIBC,20180531,17000.0,7.55,5.03,0.0,855.0,9-juin-17
SDSC,20180531,3200.0,13.25,5.69,-35.87,182.0,30-mai-18
PALC,20180531,4970.0,8.82,2.42,-9.64,120.0,29-sept.-17
SCRC,20180531,1250.0,7.78,10.98,9.65,137.0,29-sept.-17
SICC,20180531,2800.0,8.37,,-29.11,1919.0,25-sept.-00
SOGC,20180531,3600.0,7.46,8.9,-14.29,320.0,31-juil.-17
SPHC,20180531,2960.0,5.88,,-4.36,116.0,13-juin-14
ABJC,20180531,1430.0,15.72,3.46,-28.5,50.0,24-juil.-17
BNBC,20180531,2545.0,7.95,6.39,-17.9,163.0,11-juil.-17
CFAC,20180531,580.0,25.86,3.5,46.84,20.0,24-juil.-17
PRSC,20180531,183990.0,14.6,7.34,-36.25,13500.0,25-sept.-17
SHEC,20180531,910.0,11.46,3.66,1.11,33.0,27-juil.-17
TTLC,20180531,1990.0,12.02,4.87,-28.42,97.0,30-juin-17
TTLS,20180531,1700.0,13.32,2.65,-10.53,45.0,25-juil.-17
STAC,20180531,295.0,3.56,,63.89,0.0,
CABC,20180629,1500.0,9.06,6.67,35.75,100.0,31-mai-18
FTSC,20180629,4000.0,22.64,14.03,-18.78,561.25,9-janv.-18
NEIC,20180629,160.0,4.04,,332.43,9.0,28-juin-01
NTLC,20180629,2645.0,,,39.21,31.5,12-août-11
SEMC,20180629,12050.0,50.73,5.62,-13.15,676.8,29-sept.-17
SIVC,20180629,350.0,,18.0,-12.5,63.0,29-sept.-17
SLBC,20180629,74000.0,28.66,3.14,-40.8,2322.0,14-juin-18
SMBC,20180629,19950.0,5.18,,161.81,450.0,18-juil.-12
STBC,20180629,46000.0,,8.97,-36.11,4124.0,19-juin-17
UNLC,20180629,8600.0,,,1.18,1233.0,9-juil.-12
UNXC,20180629,3150.0,16.28,5.51,-26.23,173.6,10-juil.-17
CIEC,20180629,1795.0,50.59,9.65,-14.52,173.25,20-sept.-17
ONTBF,20180629,7995.0,9.61,9.1,-16.37,727.91,6-juin-18
SDCC,20180629,4150.0,13.72,6.51,-29.78,270.0,28-sept.-17
SNTS,20180629,22300.0,11.03,6.73,-5.11,1500.0,23-mai-18
BICC,20180629,7340.0,13.17,2.91,-13.55,213.56,2-juil.-18
