ticker,montant_net,date_paiement,source
SICC,1919.0,2000-09-25,BOC 2026-07-17
SAFC,23.04,2011-07-29,BOC 2026-07-17
UNLC,1233.0,2012-07-09,BOC 2026-07-17
SIVC,63.0,2017-09-29,BOC 2026-07-17
ORGT,59.52,2020-07-17,BOC 2026-07-17
SCRC,40.5,2021-08-20,BOC 2026-07-17
SEMC,14.0,2021-12-28,BOC 2026-07-17
STAC,66.15,2022-07-18,BOC 2026-07-17
UNXC,60.75,2022-07-29,BOC 2026-07-17
BNBC,150.0,2023-07-24,BOC 2026-07-17
NEIC,81.78,2024-06-25,BOC 2026-07-17
ABJC,206.2,2024-09-30,BOC 2026-07-17
BOAN,209.25,2025-06-03,BOC 2026-07-17
NSBC,668.15,2025-07-09,BOC 2026-07-17
SOGC,528.0,2025-07-15,BOC 2026-07-17
SPHC,323.84,2025-07-17,BOC 2026-07-17
SLBC,1073.6,2025-07-29,BOC 2026-07-17
CIEC,158.4,2025-07-31,BOC 2026-07-17
LNBB,275.5,2025-07-31,BOC 2026-07-17
SIBC,330.0,2025-07-31,BOC 2026-07-17
SGBC,1645.78,2025-08-05,BOC 2026-07-17
NTLC,721.6,2025-08-18,BOC 2026-07-17
CFAC,7.04,2025-08-19,BOC 2026-07-17
SDSC,92.0,2025-08-29,BOC 2026-07-17
STBC,2096.0,2025-08-29,BOC 2026-07-17
TTLC,195.67,2025-09-03,BOC 2026-07-17
BICB,254.6,2025-09-15,BOC 2026-07-17
SMBC,616.0,2025-09-15,BOC 2026-07-17
FTSC,1726.56,2025-09-30,BOC 2026-07-17
PRSC,182.16,2025-09-30,BOC 2026-07-17
SDCC,352.0,2025-09-30,BOC 2026-07-17
SHEC,75.29,2025-10-22,BOC 2026-07-17
BOABF,397.0,2026-04-23,BOC 2026-07-17
BOAC,597.53,2026-05-06,BOC 2026-07-17
BOAB,585.0,2026-05-26,BOC 2026-07-17
ECOC,781.44,2026-05-26,BOC 2026-07-17
SNTS,1740.0,2026-05-26,BOC 2026-07-17
BOAS,450.0,2026-06-01,BOC 2026-07-17
CABC,152.02,2026-06-01,BOC 2026-07-17
BOAM,305.04,2026-06-03,BOC 2026-07-17
ORAC,704.0,2026-06-08,BOC 2026-07-17
ONTBF,145.32,2026-06-15,BOC 2026-07-17
PALC,441.04,2026-06-29,BOC 2026-07-17
ETIT,0.92,2026-06-30,BOC 2026-07-17
BICC,1157.2,2026-07-06,BOC 2026-07-17
TTLS,176.65,2026-07-17,BOC 2026-07-17
