ticker,montant,date_paiement,premiere_observation,derniere_observation
ABJC,50.0,24-juil.-17,2018-01-31,2018-05-31
ABJC,98.97,20-juin-18,2018-06-29,2019-04-30
ABJC,123.72,27-mai-19,2019-05-31,2019-08-30
ABJC,41.24,30-sept.-19,2019-09-30,2019-10-01
ABJC,164.96,30-sept.-19,2019-10-02,2020-02-11
ABJC,164.96,30 Sep 19,2020-02-12,2020-02-12
ABJC,164.96,30-sept.-19,2020-02-13,2020-04-24
ABJC,164.96,30 Sep 19,2020-04-27,2020-04-27
ABJC,164.96,30-sept.-19,2020-04-28,2022-01-11
ABJC,164.96,30 Sep 19,2022-01-12,2022-01-12
ABJC,164.96,30-sept.-19,2022-01-13,2022-08-18
ABJC,57.73,24-août-22,2022-08-19,2023-06-01
ABJC,57.73,24 Aug 22,2023-06-02,2023-06-02
ABJC,57.73,24-août-22,2023-06-05,2023-08-25
ABJC,92.0,31-août-23,2023-08-28,2024-08-30
ABJC,206.2,30-sept.-24,2024-09-30,2026-07-24
BICB,254.6,15-sept.-25,2025-09-11,2026-07-24
BICC,277.0,24-juil.-17,2018-01-31,2018-05-31
BICC,213.56,2-juil.-18,2018-06-29,2019-06-28
BICC,182.9,17-juil.-19,2019-07-31,2020-02-11
BICC,182.9,17 Jul 19,2020-02-12,2020-02-12
BICC,182.9,17-juil.-19,2020-02-13,2020-04-24
BICC,182.9,17 Jul 19,2020-04-27,2020-04-27
BICC,182.9,17-juil.-19,2020-04-28,2021-06-25
BICC,50.0,6-juil.-21,2021-07-07,2022-01-11
BICC,50.0,06 Jul 21,2022-01-12,2022-01-12
BICC,50.0,6-juil.-21,2022-01-13,2022-07-11
BICC,518.0,15-juil.-22,2022-07-12,2023-06-01
BICC,518.0,15 Jul 22,2023-06-02,2023-06-02
BICC,518.0,15-juil.-22,2023-06-05,2023-07-25
BICC,401.4,31-juil.-23,2023-07-26,2024-06-21
BICC,540.9,27-juin-24,2024-06-24,2025-05-19
BICC,830.72,23-mai-25,2025-05-20,2026-07-01
BICC,1157.2,6-juil.-26,2026-07-02,2026-07-24
BNBC,163.0,11-juil.-17,2018-01-31,2018-05-31
BNBC,162.6,11-juil.-17,2018-06-29,2018-06-29
BNBC,63.0,25-juil.-18,2018-07-31,2019-06-28
BNBC,45.0,19-juil.-19,2019-07-31,2020-02-11
BNBC,45.0,19 Jul 19,2020-02-12,2020-02-12
BNBC,45.0,19-juil.-19,2020-02-13,2020-04-24
BNBC,45.0,19 Jul 19,2020-04-27,2020-04-27
BNBC,45.0,19-juil.-19,2020-04-28,2022-01-11
BNBC,45.0,19 Jul 19,2022-01-12,2022-01-12
BNBC,45.0,19-juil.-19,2022-01-13,2023-06-01
BNBC,45.0,19 Jul 19,2023-06-02,2023-06-02
