ticker,exercice_couvert,montant,date_paiement,confiance,note
ABJC,2016,50.0,24-juil.-17,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
ABJC,2016,49.5,24-juil.-17,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
ABJC,2017,98.97,20-juin-18,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
ABJC,2017,98.97,20-juin.-18,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
ABJC,2017,98.97,20-juin-18,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
ABJC,2018,123.72,27-mai-19,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
ABJC,2018,41.24,30-sept.-19,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
ABJC,2018,164.96,30-sept.-19,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
ABJC,2021,57.73,24-août-22,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
ABJC,2022,92.0,31-août-23,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
ABJC,2023,206.2,30-sept.-24,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BICB,2024,254.6,15-sept.-25,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BICC,2016,277.0,24-juil.-17,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BICC,2016,277.14,24-juil.-17,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BICC,2017,213.56,2-juil.-18,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BICC,2018,182.9,17-juil.-19,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BICC,2020,50.0,6-juil.-21,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BICC,2021,518.0,15-juil.-22,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BICC,2022,401.4,31-juil.-23,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BICC,2023,540.9,27-juin-24,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BICC,2024,830.72,23-mai-25,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BICC,2025,1157.2,6-juil.-26,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BNBC,2016,163.0,11-juil.-17,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BNBC,2016,162.6,11-juil.-17,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BNBC,2017,63.0,25-juil.-18,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BNBC,2018,45.0,19-juil.-19,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BNBC,2022,150.0,24-juil.-23,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAB,2016,447.0,15-mai-17,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAB,2017,407.0,15-mai-18,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAB,2018,416.0,22-mai-19,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAB,2019,436.0,15-mai-20,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAB,2020,436.0,20-mai-21,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAB,2021,546.0,25-mai-22,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAB,2022,627.0,25-mai-23,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAB,2023,706.0,27-mai-24,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAB,2024,468.0,3-juin-25,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAB,2025,585.0,26-mai-26,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOABF,2016,347.0,4-mai-17,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOABF,2017,358.0,7-mai-18,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOABF,2018,366.0,2-mai-19,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOABF,2019,370.0,4-mai-20,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOABF,2020,370.0,3-mai-21,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOABF,2021,448.0,4-mai-22,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOABF,2022,577.0,5-mai-23,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOABF,2023,704.0,6-mai-24,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOABF,2024,428.0,22-avr.-25,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOABF,2025,397.0,23-avr.-26,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAC,2016,274.0,8-mai-17,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAC,2017,295.0,6-juin-18,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAC,2018,306.0,20-mai-19,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAC,2019,315.0,15-juin-20,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAC,2020,315.0,12-mai-21,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAC,2021,374.0,28-avr.-22,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAC,2022,540.0,28-avr.-23,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAC,2023,684.0,29-avr.-24,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAC,2024,469.0,20-mai-25,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAC,2025,594.53,6-mai-26,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAC,2025,597.53,6-mai-26,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAM,2016,372.0,2-mai-17,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAM,2017,290.0,31-mai-18,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAM,2018,271.0,15-mai-19,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAM,2023,144.0,21-mai-24,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAM,2024,237.5,3-juin-25,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAM,2024,237.15,3-juin-25,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAM,2024,237.5,3-juin-25,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAM,2024,237.15,3-juin-25,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAM,2025,305.04,3-juin-26,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAN,2016,378.0,19-mai-17,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAN,2017,379.0,31-mai-18,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAN,2017,379.44,31-mai-18,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAN,2018,385.95,27-mai-19,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAN,2018,385.0,27-mai-19,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAN,2019,429.66,20-mai-20,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAN,2020,429.66,6-mai-21,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAN,2021,567.3,12-mai-22,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAN,2022,613.8,25-mai-23,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAN,2023,609.15,31-mai-24,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAN,2024,209.25,3-juin-25,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAS,2016,50.0,15-mai-17,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAS,2017,160.0,2-mai-18,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAS,2018,160.0,3-juin-19,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAS,2019,161.0,19-juin-20,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAS,2020,161.01,1-juin-21,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAS,2022,187.5,1-juin-23,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAS,2023,300.0,27-juin-24,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAS,2024,350.0,2-juin-25,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
BOAS,2025,450.0,1-juin-26,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
CABC,2016,50.0,30-juin-17,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
CABC,2017,100.0,31-mai-18,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
CABC,2018,75.0,3-juin-19,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
CABC,2019,75.0,29-juil.-20,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
CABC,2020,133.0,2-août-21,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
CABC,2021,69.0,2-août-22,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
CABC,2022,69.0,2-août-23,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
CABC,2023,79.58,31-mai-24,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
CABC,2024,112.72,2-juin-25,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
CABC,2025,152.02,1-juin-26,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
CBIBF,2016,224.0,9-juin-17,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
CBIBF,2017,336.0,5-juil.-18,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
CBIBF,2018,402.0,5-juil.-19,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
CBIBF,2019,420.0,8-juil.-20,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
CBIBF,2020,406.0,6-juil.-21,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
CBIBF,2021,448.0,6-juil.-22,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
CBIBF,2022,525.0,6-juil.-23,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
CBIBF,2023,790.0,5-juil.-24,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
CBIBF,2024,555.0,7-juil.-25,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
CBIBF,2025,900.0,19-juin-26,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
CFAC,2016,20.0,24-juil.-17,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
CFAC,2016,20.32,24-juil.-17,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
CFAC,2017,9.9,27-juil.-18,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
CFAC,2018,31.5,23-juil.-19,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
CFAC,2019,26.07,25-août-20,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
CFAC,2020,22.15,15-juil.-21,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
CFAC,2021,69.47,2-août-22,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
CFAC,2022,27.45,15-sept.-23,ELEVEE,paiement en saison normale d'AGM (avril-decembre)
