sha256,ticker,exercice,resultat_net,resultat_net_n1,total_actif,total_passif,capitaux_propres,source_type,statut_donnee,strategie,unite,note,source_url,date_extraction_utc
c7cf0f30ea515f766c064848bd41da0f2ce80652ab925970ef164be17e7905f0,SIVC,2020,-2462719856.0,-26523307.0,,,,NATIF,PROBABLE,pdfplumber,,"resultat net trouve, bilan complet non localise",https://www.brvm.org/sites/default/files/20210428_-_etats_financiers_-_exercice_2020_-_air_liquide_ci_1.pdf,2026-07-25T11:20:57.097017+00:00
670da39f89166fb9db162654e50437e8902acd9b7129fc0267a0a09d802e3a07,BOAB,,20.0,19143162703.0,,906823805860.0,,NATIF,PROBABLE,pdfplumber,,"resultat net trouve, bilan complet non localise",https://www.brvm.org/sites/default/files/20240403_-_etats_financiers_-_exercice_2023_-_boa_benin.pdf,2026-07-25T11:21:03.782873+00:00
cd9d6e6ee7b7fbd9f1b73ea959a105e5341e91e415d848bc5bfe52ba4e49b1c5,BOABF,,20.0,26075.0,,136741.0,,NATIF,PROBABLE,pdfplumber,,"resultat net trouve, bilan complet non localise",https://www.brvm.org/sites/default/files/20250402_-_etats_financiers_-_exercice_2024_-_boa_ci.pdf,2026-07-25T11:21:42.616983+00:00
1ba814aa3947cb1dd28a70805e337f4a635d15e3c4c783d00a9817332612ac5d,BOABF,,20.0,20069.0,,95439.0,,NATIF,PROBABLE,pdfplumber,,"resultat net trouve, bilan complet non localise",https://www.brvm.org/sites/default/files/20240314_-_etats_financiers_-_exercice_2023_-_boa_ci.pdf,2026-07-25T11:21:43.300642+00:00
019acc5d7debbfad6316b6fcf37862ab8c089095a21d4fe682fe1fe1f8e8f1db,BOABF,,20.0,9043.0,,32808.0,,NATIF,PROBABLE,pdfplumber,,"resultat net trouve, bilan complet non localise",https://www.brvm.org/sites/default/files/20221027_-_etats_financiers_-_1er_semestre_2022_-_boa_ci.pdf,2026-07-25T11:21:44.788752+00:00
24a07bf1b1476bea597cf172533102cec574fdec99a8ffa27723205cb8e4a771,BICC,,26226.0,36520.0,,1126270.0,,NATIF,PROBABLE,pdfplumber,,"resultat net trouve, bilan complet non localise",https://www.brvm.org/sites/default/files/20260417_-_etats_financiers_-_exercice_2025_-_bici_ci.pdf,2026-07-25T11:22:02.786214+00:00
bff9b89dc7197aa352166eb31ec87a6909d5d3d44186d9379bbd4e45ee6acb66,BICC,,12391.0,16694.0,920563.0,920563.0,,NATIF,PROBABLE,pdfplumber,,bilan equilibre ; unite non confirmee dans le texte,https://www.brvm.org/sites/default/files/20240502_-_etats_financiers_-_exercice_2023_-_bici_ci.pdf,2026-07-25T11:22:07.271047+00:00
7b6328fe5e9d256121a7d7adea19f3d447ca598753df0dc2bde76e5c3c693f4f,ECOC,,,,273225.0,273225.0,,NATIF,PROBABLE,camelot,,bilan equilibre ; unite non confirmee dans le texte,https://www.brvm.org/sites/default/files/20231106_-_rapport_des_commissaires_aux_comptes_-_etats_financiers_consolides_exercice_2022_-_agl_cote_divoire.pdf,2026-07-25T11:22:38.790921+00:00
567587d32dd6fc2b19d04fb0315022845f881215f89172d2566edc8e3941966c,CIEC,2025,13127.0,10101.0,2019136.0,2019136.0,40037.0,NATIF,VALIDE,pdfplumber,millions,bilan equilibre,https://www.brvm.org/sites/default/files/20260520_-_etats_financiers_syscohada_et_ifrs_-_exercice_2025_-_cie_ci.pdf,2026-07-25T11:23:09.773112+00:00
3f65befea7c97079be468425b5898ebb5cca215b53c312a38363243cc5f5f652,CIEC,2024,10101.0,10633.0,1975051.0,1975051.0,40227.0,NATIF,VALIDE,pdfplumber,millions,bilan equilibre,https://www.brvm.org/sites/default/files/20250430_-_etats_financiers_-_norme_syscohada_-_exercice_2024_-_cie_ci.pdf,2026-07-25T11:23:11.085929+00:00
