ticker,societe_brvm,date_annonce,agence,note_lt,rang_lt,note_ancienne,variation_crans,note_ct,perspective,validite,action,marge_nette,marge_brute,ca_mds,annees_citees,score_risque_pays,score_risque_secteur,score_total,statut_extraction,url_pdf,date_collecte
UNLC,UNILEVER CI,2025-04-15,,,,,,,,,,,,,,,,,NON_EXTRAIT,https://www.brvm.org/sites/default/files/20250415_-_notation_financiere_-_unilever_ci.pdf,2026-09-03
UNLC,UNILEVER CI,2024-07-10,,,,,,,,,,,,,,,,,NON_EXTRAIT,https://www.brvm.org/sites/default/files/20240710_-_notation_financiere_-_unilever_ci.pdf,2026-09-03
UNLC,UNILEVER CI,2023-07-18,,,,,,,,,,,,,,,,,NON_EXTRAIT,https://www.brvm.org/sites/default/files/20230718_-_fiche_de_notation_-unilever_ci.pdf,2026-09-03
TTLS,TOTAL SENEGAL S.A.,2025-12-30,,,,,,,,,,,,,,,,,ECHEC,https://www.brvm.org/sites/default/files/20251230_-_notation_financiere_-_totalenergies_marketing_sn.pdf,2026-09-03
TTLS,TOTAL SENEGAL S.A.,2023-12-26,,,,,,,,,,,,,,,,,NON_EXTRAIT,https://www.brvm.org/sites/default/files/20231226_-_notation_financiere_-_total_sn.pdf,2026-09-03
TTLS,TOTAL SENEGAL S.A.,2022-12-12,,,,,,,,,,,,,,,,,NON_EXTRAIT,https://www.brvm.org/sites/default/files/20221212_-_notation_financiere_-_totalenergies_marketing_senegal.pdf,2026-09-03
TTLS,TOTAL SENEGAL S.A.,2021-12-29,,,,,,,,,,,,,,,,,NON_EXTRAIT,https://www.brvm.org/sites/default/files/20211229_-_notation_financiere_-_total_sn.pdf,2026-09-03
TTLS,TOTAL SENEGAL S.A.,2021-02-08,,,,,,,,,,,,,,,,,NON_EXTRAIT,https://www.brvm.org/sites/default/files/20210208_-_notation_financiere_-_total_senegal.pdf,2026-09-03
TTLS,TOTAL SENEGAL S.A.,2019-12-11,,,,,,,,,,,,,,,,,NON_EXTRAIT,https://www.brvm.org/sites/default/files/20191211_-_notation_financiere_-_total_senegal_2019_0.pdf,2026-09-03
TTLS,TOTAL SENEGAL S.A.,2018-10-08,,,,,,,,,,,,,,,,,NON_EXTRAIT,https://www.brvm.org/sites/default/files/20181008_-_total_senegal_-_notation_financiere.pdf,2026-09-03
TTLS,TOTAL SENEGAL S.A.,2017-10-16,,,,,,,,,,,,,,,,,NON_EXTRAIT,https://www.brvm.org/sites/default/files/20171016-notation_financiere-_total_sn_2017.pdf,2026-09-03
TTLC,TOTAL,2025-12-30,GCR,A+(WU),17,,,,stable,,affirme,,,621.0,2019;2020;2021;2022;2023,4.5,3.5,8.75,OK,https://www.brvm.org/sites/default/files/20251230_-_notation_financiere_-_totalenergies_marketing_ci.pdf,2026-09-03
TTLC,TOTAL,2024-08-08,,,,,,,,,,,,,,,,,NON_EXTRAIT,https://www.brvm.org/sites/default/files/20240808_-_notation_financiere_-_totalenergies_marketing_ci.pdf,2026-09-03
TTLC,TOTAL,2023-10-11,,,,,,,,,,,,,,,,,NON_EXTRAIT,https://www.brvm.org/sites/default/files/20231011_-_notation_financiere_-_totalenergies_marketing_cote_divoire.pdf,2026-09-03
TTLC,TOTAL,2022-12-22,,,,,,,,,,,,,,,,,NON_EXTRAIT,https://www.brvm.org/sites/default/files/20221222_-_notation_financiere_-_totalenergies_marketing_cote_divoire.pdf,2026-09-03
TTLC,TOTAL,2022-01-11,,,,,,,,,,,,,,,,,NON_EXTRAIT,https://www.brvm.org/sites/default/files/20220111_-_notation_financiere_-_total_ci.pdf,2026-09-03
TTLC,TOTAL,2021-01-22,,,,,,,,,,,,,,,,,NON_EXTRAIT,https://www.brvm.org/sites/default/files/fiche_de_notation_-_total_cote_divoire_-_2020.pdf,2026-09-03
TTLC,TOTAL,2020-07-13,,,,,,,,,,,,,,,,,NON_EXTRAIT,https://www.brvm.org/sites/default/files/20200713_-_fiche_de_notation_-_total_cote_divoire_-_2019.pdf,2026-09-03
TTLC,TOTAL,2019-03-18,,,,,,,,,,,,,,,,,NON_EXTRAIT,https://www.brvm.org/sites/default/files/20190318_-_notation_financiere_-_total_ci_0.pdf,2026-09-03
