symbole;exercice;fonds_propres;source;agence;date_rapport;statut;methode;releve_le
BNBC;2024;17748.0;https://www.brvm.org/sites/default/files/20250822_-_notation_financiere_-_bernabe_ci.pdf;;2025-08-22;notation;colonnes;2026-09-05
BOAB;2025;117507.0;https://www.brvm.org/sites/default/files/20260818_-_notation_financiere_-_boa_bn.pdf;Bloomfield Investment Corporation;2026-08-18;notation;colonnes;2026-09-05
BOABF;2025;26516.0;https://www.brvm.org/sites/default/files/20260826_-_notation_financiere_-_boa_bf.pdf;Bloomfield Investment Corporation;2026-08-26;notation;colonnes;2026-09-05
BOAC;2025;127340.0;https://www.brvm.org/sites/default/files/20260703_-_notation_financiere_-_boa_ci.pdf;Bloomfield Investment Corporation;2026-07-05;notation;colonnes;2026-09-05
BOAM;2025;49820.0;https://www.brvm.org/sites/default/files/20260818_-_notation_financiere_-_boa_ml.pdf;Bloomfield Investment Corporation;2026-08-18;notation;colonnes;2026-09-05
BOAN;2024;37154.0;https://www.brvm.org/sites/default/files/20251117_-_notation_financiere_-_boa_ng.pdf;Bloomfield Investment Corporation;2025-11-18;notation;colonnes;2026-09-05
BOAS;;88621.0;https://www.brvm.org/sites/default/files/20251022_-_notation_financiere_-_boa_sn.pdf;;2025-10-23;notation;sans en-tête;2026-09-05
CBIBF;2025;330548.0;https://www.brvm.org/sites/default/files/20260826_-_notation_financiere_-_coris_bank_international_bf.pdf;Bloomfield Investment Corporation;2026-08-26;notation;colonnes;2026-09-05
CIEC;2024;32915.0;https://www.brvm.org/sites/default/files/20260108_-_notation_financiere_-_cie_ci.pdf;Bloomfield Investment Corporation;2026-01-08;notation;colonnes;2026-09-05
ECOC;2024;199352.0;https://www.brvm.org/sites/default/files/20251028_-_notation_financiere_-_ecobank_ci.pdf;Bloomfield Investment Corporation;2025-10-28;notation;colonnes;2026-09-05
LNBB;2024;23615.0;https://www.brvm.org/sites/default/files/20250828_-_notation_financiere_-_lnb_bn.pdf;;2025-08-28;notation;colonnes;2026-09-05
NEIC;;3718.0;https://www.brvm.org/sites/default/files/20260303_-_notation_financiere_-_nei_ceda_ci.pdf;Bloomfield Investment Corporation;2026-03-03;notation;sans en-tête;2026-09-05
NTLC;2024;29259.0;https://www.brvm.org/sites/default/files/20260605_-_notation_financiere_-_nestle_ci.pdf;Bloomfield Investment Corporation;2026-06-07;notation;colonnes;2026-09-05
ORAC;2024;508331.0;https://www.brvm.org/sites/default/files/20260202_-_notation_financiere_-_orange_ci.pdf;Bloomfield Investment Corporation;2026-02-02;notation;colonnes;2026-09-05
PALC;;142639.0;https://www.brvm.org/sites/default/files/20260826_-_notation_financiere_-_palm_ci.pdf;Bloomfield Investment Corporation;2026-08-26;notation;sans en-tête;2026-09-05
SAFC;2024;5215.0;https://www.brvm.org/sites/default/files/20260303_-_notation_financiere_-_safca_ci.pdf;Bloomfield Investment Corporation;2026-03-03;notation;colonnes;2026-09-05
SDCC;;18591.0;https://www.brvm.org/sites/default/files/20260127_-_notation_financiere_-_sode_ci.pdf;Bloomfield Investment Corporation;2026-01-27;notation;sans en-tête;2026-09-05
SDSC;2024;77808.0;https://www.brvm.org/sites/default/files/20260623_-_notation_financiere_-_africa_global_logistics_ci.pdf;Bloomfield Investment Corporation;2026-06-24;notation;colonnes;2026-09-05
SEMC;;13049.0;https://www.brvm.org/sites/default/files/20250415_-_notation_financiere_-_eviosys_packaging_siem_ci.pdf;;2025-04-15;notation;sans en-tête;2026-09-05
SGBC;2024;451721.0;https://www.brvm.org/sites/default/files/20250915_-_notation_financiere_-_societe_generale_ci.pdf;;2025-09-15;notation;colonnes;2026-09-05
SIBC;2024;187136.0;https://www.brvm.org/sites/default/files/20260421_-_notation_financiere_-_sib_ci.pdf;Bloomfield Investment Corporation;2026-04-22;notation;colonnes;2026-09-05
SIVC;;3272.0;https://www.brvm.org/sites/default/files/fiche_de_notation-_erium_ci_-_2025.pdf;Bloomfield Investment Corporation;2026-05-05;notation;sans en-tête;2026-09-05
SMBC;;35294.0;https://www.brvm.org/sites/default/files/20251209_-_notation_financiere_-_smb_ci.pdf;Bloomfield Investment Corporation;2025-12-09;notation;sans en-tête;2026-09-05
STBC;2024;51825.0;https://www.brvm.org/sites/default/files/fiche_de_notation_-_sitab_2025.pdf;Bloomfield Investment Corporation;2026-05-05;notation;colonnes;2026-09-05
UNLC;2023;-10659.0;https://www.brvm.org/sites/default/files/20250415_-_notation_financiere_-_unilever_ci.pdf;;2025-04-15;notation;colonnes;2026-09-05
